id,name,code,icon,updated_by,updated_at,created_by,created_at
04d29c15-4de4-4b43-ad63-0f4760c62919,"Product Management",PM,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
1719d19a-0206-4161-9c6f-0a7dba44d4e5,"Cloud And Devops",CAD,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
235ccbd6-07d9-445b-9236-078d5d2903b2,"No Or Low Code",NLC,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-05-26 06:47:41",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-05-26 06:47:41"
243a1bda-893c-4de3-b457-51e7cb517d83,Entrepreneurship,ENT,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
2de0ee0c-ddc3-4f02-bf93-b6bd2d0625c3,"Ar Vr Mr",ARVR,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
3a74725e-a05a-418b-a275-39d68ad9a416,"Cyber Security",CYB,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
46fe1fb7-7b04-4ebe-837d-120bc16d0e0a,"Ui Ux",UIUX,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
4922b746-a71f-4aa3-869a-96a25b6072db,"Mobile Development",MOB,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
4ac6cca9-9157-4a07-8d71-edb62b2e5c35,Ai,AI,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
4ddfca30-56ca-47c8-83fc-6944081a6260,Marketing,MARK,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
59d408b4-cfc0-4369-a147-59f00cf6670b,"3D Animation and Game Development",AGM,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-06-04 18:42:29",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-06-04 18:42:29"
6cf3bc70-3ff8-457b-ace4-86d4a1df7f2d,"Competitive Coding",CC,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
85130a05-7dc8-4888-a486-e3e50eafc75c,Blockchain,BLOC,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
9b8aaf7f-16a0-4a66-ae53-79b8c25e5faa,"Web Development",WEB,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
c78e8429-d515-450e-9528-0db6b08a5030,"Strategic Leadership",SL,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
d2427189-bed5-46a2-8196-cda49ad39b56,Civil,CIV,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-26 22:31:03",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-26 22:31:03"
d379d82b-e116-4b67-8128-670916e6bb42,"Internet Of Things (IOT) And Robotics",IOT,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
e36ef538-80ce-48a8-92dd-c8e9e6236fbb,"Creative Design",CRD,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-03-13 23:59:21"
f857b0d7-3c0b-4552-a2e3-109e0ac3e579,"Quality Assurance",QA,a,fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-05-25 21:45:28",fba9cb9d-7764-4953-9970-309d2765ff1f,"2023-05-25 21:45:28"
